date,Trans,Hours,Visits,Unit,Net_Sales
2014-01-31,401.0,0.0,0.0,1064.0,18232.2
2014-02-01,414.0,0.0,0.0,1094.0,20172.839999999997
2014-02-02,319.0,217.266566,1468.0,775.0,14434.439999999999
2014-02-03,214.0,222.58333000000002,3467.0,554.0,10980.579999999998
2014-02-04,200.0,191.666726,2110.0,536.0,9725.82
2014-02-05,147.0,157.69998600000002,563.0,440.0,9230.46
2014-02-06,252.0,206.95,974.0,723.0,13980.48
2014-02-07,354.0,265.81676,1459.0,960.0,19084.820000000003
2014-02-08,612.0,317.8333219999999,2622.0,1954.0,35241.59
2014-02-09,610.0,246.15006,2305.0,2177.0,39534.67
2014-02-10,297.0,219.96655600000003,1059.0,813.0,15102.38
2014-02-11,360.0,166.65002,1322.0,1012.0,21117.730000000003
2014-02-12,417.0,164.99998300000001,1343.0,1330.0,27463.79
2014-02-13,568.0,202.416623,1639.0,1593.0,34568.28
2014-02-14,622.0,261.333296,2004.0,1764.0,36323.64
2014-02-15,1027.0,313.283406,3853.0,3286.0,47929.63
2014-02-16,646.0,194.20010199999996,2650.0,2072.0,28495.650000000005
2014-02-17,356.0,169.999924,1212.0,1077.0,15364.16
2014-02-18,281.0,158.950096,951.0,828.0,14580.84
2014-02-19,242.0,178.28323299999997,901.0,640.0,11648.35
2014-02-20,278.0,172.81673300000003,967.0,721.0,14308.920000000002
2014-02-21,419.0,206.11661299999997,1513.0,1155.0,21010.63
2014-02-22,836.0,261.016596,3558.0,2426.0,41462.87999999999
2014-02-23,537.0,192.699886,2380.0,1759.0,28428.000000000004
2014-02-24,287.0,167.983393,1023.0,742.0,12939.830000000002
2014-02-25,407.0,169.61662599999997,1301.0,1435.0,25345.040000000005
2014-02-26,331.0,181.749923,1149.0,970.0,17145.23
2014-02-27,406.0,198.61676299999996,1251.0,1268.0,23035.590000000004
2014-02-28,615.0,248.11659300000002,2299.0,1824.0,34274.18
2014-03-01,930.0,325.699936,3918.0,2934.0,55425.80999999999
2014-03-02,576.0,200.90008600000002,2539.0,1634.0,33201.82
2014-03-03,293.0,171.01663000000002,1002.0,848.0,16421.93
2014-03-04,269.0,139.28323,894.0,618.0,12126.050000000001
2014-03-05,243.0,175.616792,900.0,725.0,14114.269999999999
2014-03-06,329.0,214.083226,1163.0,980.0,18635.14
2014-03-07,497.0,217.06677,1747.0,1432.0,27992.739999999998
2014-03-08,935.0,309.6668020000001,3814.0,2820.0,56123.759999999995
2014-03-09,552.0,204.68325600000003,2194.0,1509.0,27780.52
2014-03-10,338.0,187.099906,1279.0,949.0,16875.35
2014-03-11,316.0,159.79989,1072.0,1031.0,17026.43
2014-03-12,299.0,150.85013300000003,1016.0,917.0,17070.39
2014-03-13,361.0,187.41669100000001,1275.0,1087.0,21224.920000000002
2014-03-14,497.0,239.23320299999997,1685.0,1397.0,27188.39
2014-03-15,859.0,308.050156,3278.0,2531.0,47992.770000000004
2014-03-16,599.0,260.216586,2266.0,1766.0,32002.15
2014-03-17,351.0,233.916698,1101.0,1018.0,19041.35
2014-03-18,307.0,213.216663,973.0,862.0,16828.28
2014-03-19,347.0,197.816561,1104.0,1045.0,18113.300000000003
2014-03-20,430.0,218.36669300000005,1253.0,1746.0,22122.849999999995
2014-03-21,550.0,306.7,1714.0,2285.0,26983.71
2014-03-22,1117.0,389.93313600000005,3853.0,4742.0,59002.98
2014-03-23,734.0,214.350092,2676.0,3023.0,33106.009999999995
2014-03-24,594.0,261.44995,2170.0,2242.0,27032.64
2014-03-25,448.0,254.06649600000003,1747.0,1373.0,23431.36
2014-03-26,425.0,205.58326,1708.0,1174.0,21539.620000000003
2014-03-27,406.0,215.933493,1630.0,1190.0,23561.93
2014-03-28,526.0,281.11652999999995,2122.0,1506.0,27383.440000000002
2014-03-29,884.0,349.61677000000003,3455.0,2850.0,49488.88
2014-03-30,496.0,252.25003,1883.0,1454.0,26371.25
2014-03-31,543.0,243.91675,1295.0,1521.0,25374.07
2014-04-01,371.0,194.183296,1097.0,987.0,18222.52
2014-04-02,445.0,188.16669000000002,1213.0,1302.0,24613.98
2014-04-03,393.0,209.099923,1213.0,1351.0,20120.320000000003
2014-04-04,528.0,276.49999,1701.0,1771.0,26563.36
2014-04-05,923.0,376.466763,3256.0,3175.0,50827.93
2014-04-06,550.0,233.06676199999998,1889.0,1986.0,27412.74
2014-04-07,309.0,218.08337,932.0,1033.0,16429.739999999998
2014-04-08,333.0,199.21656300000004,944.0,1093.0,15637.599999999999
2014-04-09,351.0,189.88339600000003,936.0,1101.0,17533.39
2014-04-10,440.0,233.44997999999998,1082.0,1600.0,20318.33
2014-04-11,528.0,248.00016599999998,1465.0,1927.0,26473.249999999996
2014-04-12,777.0,325.80013,2517.0,2854.0,40654.45
2014-04-13,596.0,232.59991899999997,1854.0,2183.0,30770.449999999997
2014-04-14,311.0,254.59984999999998,954.0,1136.0,17836.53
2014-04-15,390.0,240.900066,1095.0,1506.0,22517.94
2014-04-16,386.0,240.28336600000003,1148.0,1613.0,22770.27
2014-04-17,430.0,249.816666,1220.0,1591.0,22467.59
2014-04-18,843.0,364.81656,2611.0,3096.0,48095.82
2014-04-19,889.0,417.316596,2867.0,3026.0,45313.689999999995
2014-04-21,382.0,266.483295,1041.0,1314.0,21779.12
2014-04-22,347.0,259.483403,979.0,1102.0,17415.58
2014-04-23,367.0,230.15023199999996,1078.0,1217.0,18923.989999999998
2014-04-24,421.0,272.96659600000004,1163.0,1461.0,23548.64
2014-04-25,513.0,285.81686,1384.0,1813.0,27858.689999999995
2014-04-26,879.0,373.73326,2582.0,3194.0,47538.76
2014-04-27,646.0,228.48342,1901.0,2197.0,32952.17
2014-04-28,443.0,280.3167,1146.0,1559.0,22003.230000000003
2014-04-29,505.0,274.133323,1762.0,1427.0,23794.100000000002
2014-04-30,365.0,191.83320999999998,889.0,1237.0,19527.47
2014-05-01,347.0,231.400126,1004.0,1197.0,18609.300000000003
2014-05-02,423.0,265.95013,1346.0,1391.0,23665.040000000005
2014-05-03,720.0,338.51653,2286.0,2424.0,37515.63
2014-05-04,400.0,189.48336,1495.0,1514.0,22342.769999999997
2014-05-05,252.0,164.7833,839.0,983.0,13734.16
2014-05-06,315.0,150.466639,908.0,1414.0,17314.050000000003
2014-05-07,370.0,167.65000000000003,1089.0,1541.0,19528.47
2014-05-08,332.0,184.44994899999998,1049.0,1475.0,19378.93
2014-05-09,497.0,225.91670000000005,1569.0,1994.0,26756.35
2014-05-10,798.0,303.250056,2659.0,3197.0,42834.090000000004
2014-05-11,453.0,189.11662,1657.0,1900.0,25373.970000000005
2014-05-12,300.0,222.39982999999995,1011.0,1105.0,15441.609999999999
2014-05-13,348.0,210.93335999999996,1040.0,1512.0,21268.260000000002
2014-05-14,402.0,217.466553,1246.0,1626.0,23158.88
2014-05-15,402.0,218.69996,1200.0,1760.0,26357.73
2014-05-16,530.0,237.26672599999998,1619.0,1991.0,30199.930000000004
2014-05-17,735.0,295.466723,2629.0,2802.0,40222.7
2014-05-18,440.0,194.13331599999998,1585.0,1568.0,24126.390000000003
2014-05-19,360.0,210.18335000000002,957.0,1234.0,19716.34
2014-05-20,402.0,222.649863,1030.0,1459.0,22909.38
2014-05-21,364.0,210.633295,1060.0,1416.0,18967.72
2014-05-22,469.0,212.30017999999995,1157.0,1987.0,25424.510000000006
2014-05-23,663.0,285.24998,1741.0,2915.0,34041.65000000001
2014-05-24,839.0,360.51663,2417.0,3758.0,47490.26000000001
2014-05-25,493.0,219.63326,1564.0,2205.0,25323.8
2014-05-26,753.0,272.483396,2171.0,3511.0,37606.96
2014-05-27,340.0,193.39989,979.0,1121.0,18694.010000000002
2014-05-28,474.0,228.01669,1763.0,1561.0,28047.850000000002
2014-05-29,389.0,177.96674,1149.0,1214.0,20673.199999999997
2014-05-30,511.0,220.23332000000002,1358.0,1625.0,27590.649999999998
2014-05-31,653.0,307.733328,2071.0,2390.0,37578.31
2014-06-01,444.0,210.09997,1481.0,1696.0,28181.059999999998
2014-06-02,413.0,243.28319600000003,1314.0,1397.0,23882.739999999998
2014-06-03,376.0,191.61655899999994,1116.0,1078.0,18591.83
2014-06-04,450.0,207.83342999999996,1521.0,1391.0,24867.07
2014-06-05,452.0,207.01683,1305.0,1421.0,24828.809999999998
2014-06-06,507.0,238.44993300000002,1469.0,1457.0,27047.479999999996
2014-06-07,628.0,291.18332,2095.0,2083.0,36960.05
2014-06-08,543.0,211.43325999999996,1872.0,1842.0,32017.72
2014-06-09,257.0,170.45005999999995,946.0,701.0,13418.780000000002
2014-06-10,1561.0,491.05005900000003,3601.0,7162.0,113723.67000000001
2014-06-11,1130.0,326.28333,2953.0,4620.0,70456.71
2014-06-12,902.0,293.966596,2298.0,3318.0,55207.39
2014-06-13,922.0,348.23346,2317.0,3413.0,52818.520000000004
2014-06-14,1004.0,398.816662,2885.0,3539.0,51886.700000000004
2014-06-15,629.0,206.46669,1690.0,2516.0,36771.090000000004
2014-06-16,598.0,228.95005600000002,1603.0,2349.0,35213.17
2014-06-17,608.0,255.70010000000002,1621.0,2252.0,32574.75
2014-06-18,725.0,243.93342600000003,1816.0,2699.0,37374.78
2014-06-19,738.0,234.41656000000003,1766.0,2841.0,37773.93
2014-06-20,929.0,292.200106,2261.0,3570.0,43755.64000000001
2014-06-21,1149.0,350.1999300000001,2860.0,5317.0,53903.57000000001
2014-06-22,786.0,202.016628,2209.0,3686.0,37443.92
2014-06-23,672.0,222.733326,1888.0,2565.0,28156.96
2014-06-24,607.0,215.75018999999998,1681.0,2491.0,25746.23
2014-06-25,570.0,208.31669999999997,1699.0,2085.0,26333.660000000003
2014-06-26,584.0,227.59993000000003,1437.0,2116.0,26108.120000000003
2014-06-27,628.0,205.71672,1645.0,2214.0,33241.700000000004
2014-06-28,738.0,242.86672299999998,2317.0,2937.0,36609.23
2014-06-29,414.0,159.51675000000003,1365.0,1565.0,23289.24
2014-06-30,385.0,161.116548,1278.0,1198.0,15551.779999999999
2014-07-01,461.0,236.08333,1285.0,1711.0,23682.59
2014-07-02,525.0,195.69979999999995,1681.0,1879.0,26931.24
2014-07-03,569.0,200.96675000000002,1754.0,1951.0,27780.170000000002
2014-07-04,383.0,164.91658999999999,1280.0,1251.0,18609.16
2014-07-05,607.0,237.34989000000002,2104.0,2183.0,32628.07
2014-07-06,421.0,151.55012999999997,1466.0,1502.0,20445.82
2014-07-07,377.0,193.39990000000003,1184.0,1342.0,18519.260000000002
2014-07-08,431.0,206.566759,1383.0,1443.0,18421.62
2014-07-09,379.0,166.699952,1316.0,1450.0,18877.190000000002
2014-07-10,495.0,186.51653,1613.0,2171.0,27054.27
2014-07-11,569.0,201.41646,1782.0,2358.0,30841.59
2014-07-12,704.0,243.56680599999999,2716.0,3159.0,39505.82000000001
2014-07-13,371.0,162.90005200000002,1391.0,1390.0,18729.36
2014-07-14,399.0,185.89999,1444.0,1404.0,21006.49
2014-07-15,378.0,200.51678600000002,1329.0,1403.0,19333.53
2014-07-16,408.0,164.649863,1407.0,1582.0,23831.21
2014-07-17,430.0,170.45005899999998,1263.0,1572.0,24098.61
2014-07-18,495.0,204.15009,1591.0,1766.0,27363.85
2014-07-19,710.0,246.04985000000002,2151.0,3431.0,39142.11
2014-07-20,460.0,165.68325199999998,1587.0,2558.0,24772.44
2014-07-21,347.0,186.86666,1256.0,1427.0,21045.72
2014-07-22,382.0,171.79997,1172.0,1379.0,20453.66
2014-07-23,421.0,173.183328,1451.0,1581.0,23781.2
2014-07-24,493.0,195.38336999999999,1438.0,1722.0,24971.32
2014-07-25,624.0,235.75007,1918.0,2211.0,33951.78
2014-07-26,644.0,227.09987,2278.0,2584.0,32281.249999999996
2014-07-27,455.0,161.38335999999998,1635.0,1706.0,23559.739999999998
2014-07-28,424.0,223.55003500000004,1737.0,1768.0,21585.79
2014-07-29,558.0,235.49999999999997,1905.0,2695.0,33562.32000000001
2014-07-30,533.0,203.21674,1778.0,2414.0,32178.909999999996
2014-07-31,534.0,203.26668999999998,1703.0,2361.0,32760.27
2014-08-01,557.0,246.03323000000003,2017.0,2456.0,33421.229999999996
2014-08-02,674.0,290.69979,2637.0,3355.0,41821.06999999999
2014-08-03,465.0,182.85011500000002,1762.0,1990.0,26454.820000000003
2014-08-04,373.0,178.63349,1416.0,1515.0,22069.79
2014-08-05,432.0,171.649896,1564.0,1562.0,23592.42
2014-08-06,437.0,185.83346,1512.0,1571.0,22247.219999999998
2014-08-07,398.0,221.30010300000004,1470.0,1542.0,22887.78
2014-08-08,513.0,233.25009,1958.0,1921.0,28658.22
2014-08-09,623.0,252.049936,2369.0,2863.0,36459.04
2014-08-10,435.0,173.24999100000002,1765.0,1757.0,23756.86
2014-08-11,430.0,172.08326000000005,1986.0,1645.0,23015.559999999998
2014-08-12,398.0,143.15012,1667.0,1666.0,21120.070000000003
2014-08-13,368.0,148.38329999999996,1286.0,1588.0,22569.05
2014-08-14,377.0,181.166626,1349.0,1545.0,21230.09
2014-08-15,533.0,218.69992599999998,1838.0,2053.0,30475.61
2014-08-16,691.0,224.95004299999997,2649.0,2867.0,40367.25
2014-08-17,449.0,163.13326000000004,1821.0,2031.0,29164.48
2014-08-18,390.0,132.266796,1440.0,1522.0,22591.81
2014-08-19,449.0,122.383259,1680.0,1784.0,24405.28
2014-08-20,422.0,161.03341999999998,1391.0,1739.0,24116.55
2014-08-21,435.0,189.36676300000002,1471.0,1832.0,27596.47
2014-08-22,465.0,196.59981900000002,1481.0,1899.0,27269.850000000002
2014-08-23,711.0,236.59989999999996,2594.0,2917.0,40875.37
2014-08-24,437.0,147.64996200000002,1621.0,1789.0,24745.22
2014-08-25,334.0,139.56669,1095.0,1398.0,17818.48
2014-08-26,237.0,149.98328999999998,796.0,777.0,12574.279999999999
2014-08-27,250.0,126.74998,688.0,868.0,14513.769999999999
2014-08-28,393.0,166.51662,1029.0,2099.0,21403.77
2014-08-29,502.0,178.49985599999997,1375.0,2352.0,25142.72
2014-08-30,794.0,224.38339299999998,2427.0,3779.0,42017.119999999995
2014-08-31,472.0,154.81665300000003,1625.0,2384.0,25746.440000000002
2014-09-01,623.0,185.13330000000002,2349.0,3119.0,31666.86
2014-09-02,218.0,134.18332999999998,708.0,859.0,13308.39
2014-09-03,188.0,118.11659400000002,722.0,813.0,9902.03
2014-09-04,278.0,137.80006000000003,871.0,1316.0,18742.960000000003
2014-09-05,381.0,188.38324000000003,1171.0,1670.0,24657.140000000003
2014-09-06,539.0,201.55003799999997,2126.0,2343.0,33337.03999999999
2014-09-07,339.0,123.500066,1278.0,1363.0,17969.34
2014-09-08,250.0,120.13339799999999,802.0,1023.0,14640.470000000001
2014-09-09,256.0,111.73331300000002,784.0,1007.0,14246.359999999999
2014-09-10,252.0,125.68318,922.0,1035.0,16192.490000000002
2014-09-11,293.0,160.61663,1117.0,1213.0,15968.050000000001
2014-09-12,334.0,170.08325000000002,1242.0,1309.0,19171.08
2014-09-13,613.0,223.31669,2381.0,2416.0,32944.270000000004
2014-09-14,424.0,137.066763,1494.0,1677.0,22828.41
2014-09-15,262.0,130.89999,840.0,1104.0,17420.870000000003
2014-09-16,206.0,148.68323,661.0,812.0,11687.55
2014-09-17,237.0,133.65,704.0,892.0,13561.16
2014-09-18,299.0,144.76675,830.0,1237.0,19106.82
2014-09-19,389.0,184.68336999999997,1221.0,1653.0,22727.219999999998
2014-09-20,656.0,228.0667,2334.0,2458.0,32147.01
2014-09-21,437.0,151.95015999999998,1650.0,1814.0,24102.75
2014-09-22,243.0,169.69998900000004,726.0,988.0,13326.279999999999
2014-09-23,295.0,147.78325,955.0,1383.0,15683.1
2014-09-24,291.0,132.01669,877.0,1368.0,16782.32
2014-09-25,300.0,128.61668600000002,1003.0,1259.0,17366.42
2014-09-26,386.0,187.93338900000003,1200.0,1545.0,21536.979999999996
2014-09-27,668.0,211.766726,2276.0,2744.0,36648.51
2014-09-28,391.0,132.499947,1403.0,1565.0,19211.399999999998
2014-09-29,285.0,135.81654000000003,851.0,1225.0,15514.760000000002
2014-09-30,271.0,130.516606,768.0,1067.0,14526.130000000001
2014-10-01,234.0,124.50009,697.0,863.0,12467.89
2014-10-02,236.0,111.6,727.0,894.0,15199.500000000002
2014-10-03,346.0,153.43318000000002,1105.0,1465.0,18677.120000000003
2014-10-04,597.0,199.76664,2263.0,2590.0,35077.659999999996
2014-10-05,356.0,155.54990000000004,1303.0,1483.0,18733.12
2014-10-06,248.0,122.34995199999999,821.0,1116.0,14454.56
2014-10-07,229.0,107.733396,721.0,917.0,12614.12
2014-10-08,263.0,113.75004000000001,819.0,972.0,13837.529999999999
2014-10-09,263.0,133.800026,798.0,1004.0,14468.949999999999
2014-10-10,474.0,171.649926,1466.0,2566.0,27771.120000000003
2014-10-11,825.0,234.96672000000004,2417.0,4236.0,41671.42
2014-10-12,463.0,147.08346300000002,1471.0,2502.0,23330.26
2014-10-13,348.0,169.76674400000002,1312.0,1480.0,20023.31
2014-10-14,219.0,120.116646,699.0,927.0,13237.390000000001
2014-10-15,214.0,129.53335,711.0,913.0,11894.869999999999
2014-10-16,261.0,107.53335300000002,790.0,987.0,15628.439999999999
2014-10-17,370.0,176.26679000000001,1219.0,1530.0,22787.98
2014-10-18,623.0,187.73349000000002,2315.0,2519.0,36188.88
2014-10-19,413.0,157.9501,1462.0,1774.0,25563.85
2014-10-20,256.0,141.60003,911.0,1025.0,14086.06
2014-10-21,285.0,122.416659,879.0,1366.0,17955.31
2014-10-22,309.0,113.41665000000003,940.0,1333.0,18283.03
2014-10-23,281.0,111.31663,872.0,1215.0,15051.76
2014-10-24,401.0,180.650038,1413.0,1719.0,23179.47
2014-10-25,534.0,220.73339999999996,2218.0,2498.0,32506.149999999998
2014-10-26,329.0,138.566633,1452.0,1342.0,16498.34
2014-10-27,235.0,124.73336,746.0,1000.0,13721.919999999998
2014-10-28,236.0,123.56669000000001,811.0,1065.0,12007.73
2014-10-29,245.0,113.716656,831.0,1069.0,14680.070000000002
2014-10-30,272.0,130.399972,860.0,1270.0,15778.900000000001
2014-10-31,308.0,140.98335999999998,1106.0,1405.0,17160.71
2014-11-01,643.0,217.01673000000002,2495.0,3085.0,36273.53
2014-11-02,422.0,129.483219,1791.0,1910.0,20601.35
2014-11-03,241.0,111.98328599999999,842.0,937.0,12753.22
2014-11-04,263.0,100.19993899999999,855.0,1179.0,14170.930000000002
2014-11-05,255.0,95.64996300000001,836.0,1220.0,15296.26
2014-11-06,288.0,125.383293,904.0,1388.0,16017.8
2014-11-07,492.0,159.68340600000005,1565.0,2839.0,24557.229999999996
2014-11-08,968.0,275.333288,3477.0,5576.0,46679.46000000001
2014-11-09,587.0,171.783262,2141.0,3491.0,30029.76
